2025-06-30 04:31:24,559 | INFO | cortexgrc | Supabase configured: False
2025-06-30 04:31:24,559 | INFO | cortexgrc | Framework Mapper JSON API integration enabled
2025-06-30 04:31:25,372 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:31:25,457 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:32:26,038 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:32:26,076 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.0...
2025-06-30 04:32:26,077 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 04:32:26,077 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 04:32:26,077 | INFO | cortexgrc | Supabase configured: False
2025-06-30 04:32:26,077 | INFO | cortexgrc | Framework Mapper JSON API integration enabled
2025-06-30 04:32:26,857 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:32:26,918 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:33:11,942 | ERROR | cortexgrc | Error fetching frameworks: 'NoneType' object has no attribute 'table'
2025-06-30 04:33:26,857 | ERROR | cortexgrc | Error fetching frameworks: 'NoneType' object has no attribute 'table'
2025-06-30 04:35:32,042 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:35:32,101 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:58:43,069 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:58:43,128 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:59:00,820 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:59:00,879 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:04:39,898 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:04:39,958 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:04:54,712 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:04:54,775 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:04:55,813 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:04:55,863 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:04:57,107 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:04:57,159 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:05:02,359 | ERROR | cortexgrc | Error fetching frameworks: 'NoneType' object has no attribute 'table'
2025-06-30 05:06:39,917 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:06:39,970 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 05:07:07,648 | ERROR | cortexgrc | Error fetching frameworks: 'NoneType' object has no attribute 'table'
2025-06-30 05:07:07,913 | ERROR | cortexgrc | Error fetching frameworks: 'NoneType' object has no attribute 'table'
2025-06-30 05:07:07,914 | ERROR | cortexgrc | Error fetching frameworks: 500: Database error: 'NoneType' object has no attribute 'table'
2025-06-30 05:08:53,266 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:08:53,298 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.0...
2025-06-30 05:08:53,299 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 05:08:53,299 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 05:08:53,299 | INFO | cortexgrc | Supabase configured: True
2025-06-30 05:08:53,299 | INFO | cortexgrc | Framework Mapper JSON API integration enabled
2025-06-30 05:08:54,220 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:08:54,425 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:09:07,803 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:09:08,384 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:09:14,418 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:09:15,032 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:09:22,052 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:09:22,610 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:09:23,165 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:21:37,566 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:21:38,138 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:21:43,619 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:21:44,222 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:21:44,779 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:22:22,622 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.NIST+CSF "HTTP/2 200 OK"
2025-06-30 05:22:22,948 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.CIS "HTTP/2 200 OK"
2025-06-30 05:22:22,949 | INFO | cortexgrc | Created framework_comparison job: e0191b5b-ed06-4110-b822-3b45f910fa45
2025-06-30 05:22:22,950 | INFO | cortexgrc | Updated job e0191b5b-ed06-4110-b822-3b45f910fa45 status to: processing
2025-06-30 05:22:22,950 | INFO | cortexgrc | Starting framework comparison: NIST CSF -> CIS
2025-06-30 05:22:22,950 | INFO | cortexgrc | Fetching framework data for NIST CSF and CIS
2025-06-30 05:22:23,269 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.NIST+CSF "HTTP/2 200 OK"
2025-06-30 05:22:23,581 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/controls?select=%2A&framework_id=eq.95fc3aaf-c03a-4dc3-94c6-0d0998163f2c "HTTP/2 200 OK"
2025-06-30 05:22:23,881 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.CIS "HTTP/2 200 OK"
2025-06-30 05:22:24,497 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/controls?select=%2A&framework_id=eq.ba74fa54-9650-47d0-b9c6-0973a4a35d70 "HTTP/2 200 OK"
2025-06-30 05:22:24,650 | INFO | cortexgrc | Calling Framework Optimizer at https://framework.autogrc.cloud/process-json
2025-06-30 05:22:25,532 | INFO | httpx | HTTP Request: POST https://framework.autogrc.cloud/process-json "HTTP/1.1 530 <none>"
2025-06-30 05:22:25,533 | ERROR | cortexgrc | Framework Optimizer HTTP error: Server error '530 <none>' for url 'https://framework.autogrc.cloud/process-json'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/530
2025-06-30 05:22:25,533 | ERROR | cortexgrc | Framework comparison job e0191b5b-ed06-4110-b822-3b45f910fa45 failed: 530: Framework service error: Server error '530 <none>' for url 'https://framework.autogrc.cloud/process-json'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/530
2025-06-30 05:22:25,534 | INFO | cortexgrc | Updated job e0191b5b-ed06-4110-b822-3b45f910fa45 status to: failed
2025-06-30 05:42:16,880 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:42:16,913 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.1...
2025-06-30 05:42:16,913 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 05:42:16,913 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 05:42:16,913 | INFO | cortexgrc | Supabase configured: True
2025-06-30 05:42:16,913 | INFO | cortexgrc | Pipeline: RAG → LLM → Report → Transform → Supabase
2025-06-30 05:42:16,913 | INFO | cortexgrc | Processed report data integration enabled
2025-06-30 05:42:17,874 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:42:18,090 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:42:35,778 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:42:36,363 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
